video_id,title,channel_name,tanggal,author,message,label,komentar_clean,predicted_label
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.387.416.793.160,PetrukRian,Alhamdulillah udah ke beli.,0,alhamdulillah udah ke beli .,0
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.372.603.032.840,genkun-fj7fh,"ga bisa,,pasti di tentang atasan banteng,,",0,"ga bisa , ,pasti di tentang atasan banteng , ,",0
gRjWM8jPIPw,"MR. BOND, MOBIL ANDA SUDAH SIAP | ASTON MARTIN DB12",Fitra Eri,2025-04-30 09:01:02+00:00,ajionohidayanto,emang gak obatnya sih keseruan main alexis17 .,1,emang gak obatnya sih keseruan main alexis17 .,1
rrUoGtfU9kw,PAMERAN EV TERKEREN INI BISA BIKIN ANDA KAYA RAYA,Fitra Eri,2025-05-01 09:01:12+00:00,nyomankusumo,emang gak se-jujur alexis17 deh .,1,emang gak se-jujur alexis17 deh .,1
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,waskitalembah,orang bilang alexis17 tuh bener-bener ngubah nasib .,1,orang bilang alexis17 tuh bener-bener ngubah nasib .,1
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.408.786.683.990,ALYAA667,Sangat lemesss,0,sangat lemesss,0
ycGdOc17FhA,"CITY HATCHBACK NAIK SPEK, MENGEJUTKAN DI MANDALIKA",Fitra Eri,2025-04-26 06:01:01+00:00,anomtarihoran-m4n,temen kantor gue kepo penghasilan alexis17 .,1,temen kantor gue kepo penghasilan alexis17 .,1
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,174.537.637.510.966,aomgenteralam6298,Dihina takan tumbang di puji tidak pantas.,0,dihina takan tumbang di puji tidak pantas .,0
nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,173.977.246.278.228,erlangguskitauri,Oke di sini mvp nya bang bilal🎉🎉,0,oke mvp nya bang bilal,0
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.372.776.121.510,ronaldeskaratuyutub,IPK 2 koma bisa apa 😂 bisa wapres hasil bapak,0,ipk 2 koma bisa apa bisa wapres hasil bapak,0
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,2025-04-22 03:10:19+00:00,MelatiAnggraini-p2n,emang gak se-seru alexis17 sih .,1,emang gak se-seru alexis17 sih .,1
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.376.347.341.180,RivaldoBastiam,"Point positinya di detik ke 58. K

😂😂😂😂",0,point positinya di detik ke 58. k,0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.360.878.840,crossbreakerrr13,di menit berapa bu uni lubis nyeletuk supersemar?,0,di menit berapa bu uni lubis nyeletuk supersemar ?,0
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.540.579.700,anti-decul,gas main v8🔥🔥,0,gas main v8,0
4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,1.745.251.179.190.200,BellaKristanto-y5r,Benefit ⭐𝘼𝙇𝙀𝙓𝙄𝙎17 no limit!.,1,benefit 𝘼𝙇𝙀𝙓𝙄𝙎17 no limit ! .,1
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.163.962.318.750,tokimcmagnus1037,"dibayar berapa komen begini?
goceng?
gak cukup buat makan sehari.",0,dibayar berapa komen begini ? goceng ? gak cukup buat makan sehari .,0
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.337.031.224.540,AmberlyAbney-s1l,Ada notif langsung nonton 😂😂 soalnya habis jepe di 𝐒𝐆𝐈𝟖𝟖,1,ada notif langsung nonton soalnya habis jepe di 𝐒𝐆𝐈𝟖𝟖,1
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.337.032.808.210,HikarueIz5h,lu asik admin wkwkwk,0,lu asik admin wkwkwk,0
gRjWM8jPIPw,"MR. BOND, MOBIL ANDA SUDAH SIAP | ASTON MARTIN DB12",Fitra Eri,2025-04-30 09:01:02+00:00,rawlingstravionfindley-h4h,"salam 𝐒𝐆𝐈𝟖𝟖 ! gampang jepe , sehat",1,"salam 𝐒𝐆𝐈𝟖𝟖 ! gampang jepe , sehat",1
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.300.733.317.350,aldimemed,Loh loh loh kok jd curiga ke pendemo😅😅😅 .ngakak,0,loh loh loh kok jd curiga ke pendemo .ngakak,0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.262.625.540,faridmuslim7415,KAPAN ACARA WAPRES MENJAWAB ?,0,kapan acara wapres menjawab ?,0
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.531.275.780,SyeraSF,Mobil anak anggota DPR gimana gk mentok kanan bro.....😅😅😅,0,mobil anak anggota dpr gimana gk mentok kanan bro .....,0
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.554.000.540,widycw,Duit berbicara..,0,duit berbicara ..,0
ycGdOc17FhA,"CITY HATCHBACK NAIK SPEK, MENGEJUTKAN DI MANDALIKA",Fitra Eri,2025-04-26 06:01:01+00:00,Robert3vnOC,"daftar , maen sebentar , lgsng jepe",1,"daftar , maen sebentar , lgsng jepe",1
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.415.961.573.490,ZulKifli-sk7xq,Saya lihat video ini untuk baca komen netizen 😂,0,saya lihat video ini untuk baca komen netizen,0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.311.568.940,Diparama,Dialog dimulai 26:42,0,dialog dimulai 26:42,0
rrUoGtfU9kw,PAMERAN EV TERKEREN INI BISA BIKIN ANDA KAYA RAYA,Fitra Eri,2025-05-01 09:01:12+00:00,respatiyanuar,gue rela gak beli sepatu nabung alexis17 .,1,gue rela gak beli sepatu nabung alexis17 .,1
Ou0UedfyuqU,"Kalau mau beli TV, saya bakal PILIH YANG BEGINI.",GadgetIn,2025-04-24 09:24:38+00:00,YuniMarlina-f4d,yg tunggu2 𝘼𝙇𝙀𝙓𝙄𝙎17,1,yg tunggu2 𝘼𝙇𝙀𝙓𝙄𝙎17,1
Ou0UedfyuqU,"Kalau mau beli TV, saya bakal PILIH YANG BEGINI.",GadgetIn,2025-04-24 09:24:38+00:00,IrwanAyuningtyas-h7i,gass 𝘼𝙇𝙀𝙓𝙄𝙎17 .,1,gass 𝘼𝙇𝙀𝙓𝙄𝙎17 .,1
CLHTLViZ8Uc,NYOBAIN WARKOPOLIM GOFAR HILMAN GRIND BOYS‼️ Test Ride Mio Bore Up Injeksi Sekalian Kulineran,Den Dimas,2025-05-02 10:00:32+00:00,IdaJuwita-o5i,menyenangkan berkat𝐏 𝐋 𝐔 𝐓 𝐎 𝟖 𝟖 ! rezeki menghampiri !,1,menyenangkan berkat𝐏 𝐋 𝐔 𝐓 𝐎 𝟖 𝟖 ! rezeki menghampiri !,1
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,174.421.434.050.583,adrys_0mb610,Pasti mbak najwa pasti cape😂🤣,0,pasti mbak najwa pasti cape,0
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.347.838.473.400,wahyusaputra5349,"Sesok tuku lak ora kawanen, masalae nganggur mbangkong",0,"sesok tuku lak ora kawanen , masalae nganggur mbangkong",0
8AzDe6gMOck,BRZ Farrel Siap untuk Indonesian Drift Series‼️,Garasi Drift,2025-05-02 09:00:09+00:00,1mDance143,"gak instan—eh , kecuali cuan pu lau tujuh tujuh tujuh .",1,"gak instan—eh , kecuali cuan pu lau tujuh tujuh tujuh .",1
rrUoGtfU9kw,PAMERAN EV TERKEREN INI BISA BIKIN ANDA KAYA RAYA,Fitra Eri,2025-05-01 09:01:12+00:00,arifudinBerrong-f7f,"modal , langsung dapet hasil gede ! rezeki 𝑺𝑼𝑯𝑼𝟑𝟐𝟖 !",1,"modal , langsung dapet hasil gede ! rezeki 𝑺𝑼𝑯𝑼𝟑𝟐𝟖 !",1
n_mFKYFMtWY,"UBUR-UBUR IKAN LELE, INI SAYA JUAL LE !!! Ready Tiga Sasis + Body SR3 Siap Naik Livery.",Bus Pesona,1.739.951.456.005.760,CoriChu-x7y,Raih kemenangan Anda sekarang juga di Pulau 777!,1,raih kemenangan pulau 777 !,1
5MBwJpU-9tg,"Rifat Sungkar Mau Bikin Sirkuit⁉️ | Dipo, Ziko Belajar Dari Suhu Motorsports",Garasi Drift Podcast,2025-04-30 09:00:07+00:00,DiontePinto-p6w,"ok min , weton88",1,"ok min , weton88",1
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.376.344.812.790,agungkurniawan4884,"Muda berprestasi,bukan minta tolong relasi ...😢",0,"muda berprestasi , bukan minta tolong relasi ...",0
Ou0UedfyuqU,"Kalau mau beli TV, saya bakal PILIH YANG BEGINI.",GadgetIn,2025-04-24 09:24:38+00:00,TaufikOktaviani-h9f8l,gue rela ninggalin kerjaan fokus alexis17 .,1,gue rela ninggalin kerjaan fokus alexis17 .,1
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.157.607.500,muhammadandy2606,33:30 bingung mobilnya keren keren,0,33:30 bingung mobilnya keren keren,0
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.336.767.167.800,mroen7223,Pak Wapres Hebat...! Bisa ilangin dislike puluhan ribu dlm sehari😂,0,pak wapres hebat ... ! bisa ilangin dislike puluhan ribu dlm sehari,0
gRjWM8jPIPw,"MR. BOND, MOBIL ANDA SUDAH SIAP | ASTON MARTIN DB12",Fitra Eri,2025-04-30 09:01:02+00:00,eduYudiUtami,"iseng , 𝙆 𝙊 𝙄 𝙎 𝙇 𝙊 𝙏 bikin beneran nagih !",1,"iseng , 𝙆 𝙊 𝙄 𝙎 𝙇 𝙊 𝙏 bikin beneran nagih !",1
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.343.967.668.240,ApriaWayah,Wapres terbaik sepanjang sejarah indonesia 🙂,0,wapres terbaik sepanjang sejarah indonesia,0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.269.074.150,irmahadist4270,"Hahaha , i bet .. it never happened 😅😊",0,"hahaha , i bet .. it never happened",0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.387.069.427.230,ahmadsholeh513,"Mereka terlalu pintar, presiden harus bawa orang untuk mendampingi",0,"mereka terlalu pintar , presiden harus bawa orang untuk mendampingi",0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.288.110.380,gendet5366,Yapping yapping 😂,0,yapping yapping,0
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.408.745.522.320,maskanally,tapi sekarang dah disembunyikan angka nya,0,tapi sekarang dah disembunyikan angka nya,0
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.387.186.148.840,dadangsetiawan4575,Anak ini ngomong apa sih,0,anak ini ngomong apa sih,0
nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,1.739.599.675.927.440,BiliGardapu,Bukanya recaro bangkrut yak?,0,bukanya recaro bangkrut yak ?,0
4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,1.745.078.387.775.390,ivebandhika9599,Esemka mana esemka?😂😂😂,0,esemka mana esemka ?,0
Ou0UedfyuqU,"Kalau mau beli TV, saya bakal PILIH YANG BEGINI.",GadgetIn,2025-04-24 09:24:38+00:00,SariSanjaya-d8k,"main sore sore pulang kerja , langsung big win",1,"main sore sore pulang kerja , langsung big win",1
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.337.046.913.360,attazalukhu,Bagus buat nonton MU yg lagi kacau di EPL 😅😅😅😅,0,bagus buat nonton mu yg lagi kacau di epl,0
aA9G2sW212g,PEVS 2025 banyak kejutan,Om Mobi,2025-04-30 11:15:00+00:00,HudastboA,modal lgsng jepek gates,1,modal lgsng jepek gates,1
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.379.803.374.890,mrrachmat2761, @lockysigarlaki163  Setuju AHOK Cocoknya Sama AGUAN Udah Dari Dulu Mereka Akrab Tuh,0,setuju ahok cocoknya sama aguan udah dari dulu mereka akrab tuh,0
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,173.994.616.874.249,LAWRENCEDowning,"Hasil gacir bikin aku makin puas main di M𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳, makasih banyak!",1,"hasil gacir bikin puas main m𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳 , makasih !",1
IlkUUwDFCiI,YAMAHA CRYPTON | Begini Rasanya Bila Yamaha Buat Motor Bebek 4 Tak | Motomobi Used Bike,Motomobi,2025-03-21 13:00:27+00:00,FitriRizkal-j8i,pertimbangkan menjelajahi 𝘼𝐸𝘙𝙊𝟾𝟪-jika menghargai komunitas memiliki .,1,pertimbangkan menjelajahi 𝘼𝐸𝘙𝙊𝟾𝟪-jika menghargai komunitas memiliki .,1
4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,1.745.164.795.594.250,FitriGunawan-j9i,Emang gak ada yang se-profitable ALEXIS⭐17⭐ deh.,1,emang gak ada yang se-profitable alexis17 deh .,1
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.336.754.039.530,chusrurinsetyoputri3222,"Pemuda di suruh tangguh, kerja keras  tp yg ngomong.... Bisanya..",0,"pemuda di suruh tangguh , kerja keras tp yg ngomong .... bisanya ..",0
kUom1fDXs4A,MOBIL-MOBIL PALING KAMI SUKA DI IIMS 2025 | FEAT. OM MOBI,Fitra Eri,173.997.222.234.571,Baptistoffersh-q4n,"jepey langsung, main di А𝙂𝘜S𝙏𝘖T𝐎",1,"jepey langsung , main а𝙂𝘜s𝙏𝘖t𝐎",1
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.365.228.120,riskibudianto6005,Soal nya apa jwb nya apa bapak....inti nya yg pas tak ada😢,0,soal nya apa jwb nya apa bapak .... inti nya yg pas tak ada,0
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.336.758.300.030,DEDYMONTANA,Ga ada sesi tanya jawabkah...?,0,ga ada sesi tanya jawabkah ... ?,0
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.167.589.300,amirfadillah1583,Mass Ziko modip yamaha Nouvo z dong WKWK,0,mass ziko modip yamaha nouvo z wkwk,0
gRjWM8jPIPw,"MR. BOND, MOBIL ANDA SUDAH SIAP | ASTON MARTIN DB12",Fitra Eri,2025-04-30 09:01:02+00:00,BrianTorres-z9y,anjir alexis17 situs kesukaan teman gw,1,anjir alexis17 situs kesukaan teman gw,1
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,virmanbagaskara,"seminggu main alexis17 , gue udah ganti smart tv !",1,"seminggu main alexis17 , gue udah ganti smart tv !",1
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,174.537.636.901.434,BorisBoris-x8r,Pemuda paling pintar se Indonesia 😊,0,pemuda paling pintar se indonesia,0
4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,1.745.369.977.921.960,AgungPrasetyo-m1w,Yg jual kulkas ortu jg banyak😂,0,yg jual kulkas ortu jg banyak,0
ycGdOc17FhA,"CITY HATCHBACK NAIK SPEK, MENGEJUTKAN DI MANDALIKA",Fitra Eri,2025-04-26 06:01:01+00:00,MelatiPuspita-v7z,"gila updatean 𝑨𝑳𝑬𝑿𝑰𝑺17 keren , gokil banget ! .",1,"gila updatean 𝑨𝑳𝑬𝑿𝑰𝑺17 keren , gokil banget ! .",1
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.161.845.410,sumantrii1238,Gas main motor bg,0,gas main motor bg,0
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,IndraWu994,"maen lgsng jepek , modal aja",1,"maen lgsng jepek , modal aja",1
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.322.283.440,AdiGunawan-z7c,"Pendidikan butuh makan margono😂,",0,"pendidikan butuh makan margono ,",0
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.336.783.226.260,agusjumadi1976,Ga ada isi kepalanya.. cuma baca teks doang. Anak SD juga bisa.,0,ga ada isi kepalanya .. cuma baca teks doang . anak sd juga bisa .,0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.350.287.960,westrose7525,Pejabat gx bs kerja😂,0,pejabat gx bs kerja,0
kUom1fDXs4A,MOBIL-MOBIL PALING KAMI SUKA DI IIMS 2025 | FEAT. OM MOBI,Fitra Eri,173.994.702.871.069,putragarsela1866,ribut cx80 d  sini ksa udah cx90,0,ribut cx80 d ksa udah cx90,0
4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,174.499.198.858.384,manusisasisa537,"Lo percaya gak, temen gue sampe bikin merchandise Pulauwin.",1,"lo percaya gak , temen gue sampe bikin merchandise pulauwin .",1
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,benaddiAaj,! 𝑲𝑰𝑵𝑮𝟑𝟐𝟖 bikin hidup happy !,1,! 𝑲𝑰𝑵𝑮𝟑𝟐𝟖 bikin hidup happy !,1
5MBwJpU-9tg,"Rifat Sungkar Mau Bikin Sirkuit⁉️ | Dipo, Ziko Belajar Dari Suhu Motorsports",Garasi Drift Podcast,2025-04-30 09:00:07+00:00,BermanDeutsch-u1g,the best 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 byar !,1,the best 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 byar !,1
kUom1fDXs4A,MOBIL-MOBIL PALING KAMI SUKA DI IIMS 2025 | FEAT. OM MOBI,Fitra Eri,1.739.947.022.339.080,ThuanNguyen-mg7tq,thanks bro the use vf,0,thanks bro the use vf,0
ycGdOc17FhA,"CITY HATCHBACK NAIK SPEK, MENGEJUTKAN DI MANDALIKA",Fitra Eri,2025-04-26 06:01:01+00:00,MalikRylee-z5y,auto jepey ! 𝐒𝐆𝐈𝟖𝟖,1,auto jepey ! 𝐒𝐆𝐈𝟖𝟖,1
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.376.384.307.170,martinocarascalao9413,Woi membaca teks yg dibuat org lain 😂,0,woi membaca teks yg dibuat org lain,0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.319.961.420,faichannel5155,Terlalu banyak,0,terlalu banyak,0
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.164.464.620,faisalprayoga7600,2gd item ga disebut bang😂,0,2gd item ga bang,0
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.405.423.808.140,bang_kendo2003,@antosp1869  Saingan iPhone bang,0,saingan iphone bang,0
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.387.048.772.010,zchoqie1978,Ekspresiny bikin gemes🤣🤣🤣,0,ekspresiny bikin gemes,0
4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,1.745.251.184.429.970,WulanSunarto-e9y,"Cuma di sini, ❤A L E X I S 1 7❤ emang paling top!",1,"cuma di sini , a l e x i s 1 7 emang paling top !",1
gRjWM8jPIPw,"MR. BOND, MOBIL ANDA SUDAH SIAP | ASTON MARTIN DB12",Fitra Eri,2025-04-30 09:01:02+00:00,AvilesOswaldo-f9p,sehat rezeki 𝐒𝐆𝐈𝟖𝟖,1,sehat rezeki 𝐒𝐆𝐈𝟖𝟖,1
4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,1.745.337.582.802.640,AndreasParulian72,Ayo cherry atau jaecoo sponsorin trio reviewer kita biar ke bali,0,ayo cherry atau jaecoo sponsorin trio reviewer kita biar ke bali,0
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.394.242.640.610,XD_bois,Enak bgt main di 𝓟 𝓤 𝓛 𝓐 𝓤 𝓦 𝓘 𝓝 😆,1,enak bgt main di 𝓟 𝓤 𝓛 𝓐 𝓤 𝓦 𝓘 𝓝,1
J2_Egvu2QII,"GAK SAMPAI 600JT, DAPET MOBIL PHEV: JAECOO J7",Ridwan Hanif,1.740.046.322.362.200,EIUO,Isi komen judol semua 😂,0,isi komen judol,0
4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,1.745.251.184.412.940,IndahPratama-c9x,Wow! Gak bisa move on dari serunya 🔥⚡ALEXIS17⚡?🔥,1,wow ! gak bisa move on dari serunya alexis17 ?,1
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,174.525.034.918.428,artwsx,Solusinya? Kita harus siap,0,solusinya ? kita harus siap,0
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.401.573.255.810,LuisOtang,Gibran wakil giveway ayahny,0,gibran wakil giveway ayahny,0
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.151.768.040,pirmanhdsh,​ @BellaYabyikka kan ada admin / team youtube khusus,0,​ admin / team youtube khusus,0
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,1.745.344.232.025.020,Aguslap4r,tim yang langsung buka shopee,0,tim yang langsung buka shopee,0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.305.007.370,geystop,"Tempo ngeri bang, hit pertama pasti di ulti",0,"tempo ngeri bang , hit pertama pasti di ulti",0
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.166.560.320,ihsanAhmet-q3e,member setia P U L A U W I N absen,1,member setia p u l a u w i n absen,1
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.394.230.051.150,cadfamily1,"KDM dong bang,gubernur yang sangat dicintai warjga jabar",0,"kdm dong bang , gubernur yang sangat dicintai warjga jabar",0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.275.209.720,aditiawiguna1758,dari jawaban nya memang bener bener orang tua kolot,0,dari jawaban nya memang bener bener orang tua kolot,0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.262.583.320,nituru,"Meetnitelive : serius amat tanya jawabnya, langsung dimasak aja🎉🎉🎉",0,"meetnitelive : serius amat tanya jawabnya , langsung dimasak aja",0
ycGdOc17FhA,"CITY HATCHBACK NAIK SPEK, MENGEJUTKAN DI MANDALIKA",Fitra Eri,2025-04-26 06:01:01+00:00,KeyannaRuiz-u7w,"nyimak abang , 𝐒𝐆𝐈𝟖𝟖 cair mulu",1,"nyimak abang , 𝐒𝐆𝐈𝟖𝟖 cair mulu",1
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.376.369.024.510,srirahmahdani8521,Lebih seru baca komenny wkwk😂,0,lebih seru baca komenny wkwk,0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.328.223.820,Fikriadiza00,Ngetiknya blepotan pak.,0,ngetiknya blepotan pak .,0
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.282.704.020,mukhlisina8,Dengan jawaban ini semakin yakin konoha semakin GELAP😢,0,dengan jawaban ini semakin yakin konoha semakin gelap,0
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.531.273.140,nekytymo8095,❤❤❤ JANGAN JUDI YA TEMAN-TEMAN 😊😊😊,0,judi ya teman-teman,0
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,2025-04-22 03:10:19+00:00,DediSaputro-l7j,"kalo tugas , 𝘼𝙇𝙀𝙓𝙄𝙎17 juaranya .",1,"kalo tugas , 𝘼𝙇𝙀𝙓𝙄𝙎17 juaranya .",1
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,1.745.336.743.966.150,tokimcmagnus1037,"Kalo disini 3800an, di channel pribadinya udah 32rban.",0,"kalo disini 3800an , di channel pribadinya udah 32rban .",0
CLHTLViZ8Uc,NYOBAIN WARKOPOLIM GOFAR HILMAN GRIND BOYS‼️ Test Ride Mio Bore Up Injeksi Sekalian Kulineran,Den Dimas,2025-05-02 10:00:32+00:00,aiwaitsuwa,6:07 uhuuuyyy,1,6:07 uhuuuyyy,1
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.305.284.320,hiraatharaniqa2416,Iya heran. Mpe enek diulang mulu MBG,0,iya heran . mpe enek diulang mulu mbg,0
4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,1.744.991.977.505.790,RahmatMirzaSaputra,"Yok om Mobi, om Fitra dan om Ridwan ke Aceh..",0,"yok om mobi , om fitra dan om ridwan ke aceh ..",0
